timestamp,epoch_time,cpu_percent,cpu_count,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_total_mb,memory_available_mb,memory_used_mb,memory_percent,swap_total_mb,swap_used_mb,swap_percent,disk_total_gb,disk_used_gb,disk_free_gb,disk_percent,disk_io_read_mb,disk_io_write_mb,disk_io_read_count,disk_io_write_count,network_sent_mb,network_recv_mb,network_packets_sent,network_packets_recv,network_err_in,network_err_out,network_drop_in,network_drop_out,process_count,top_cpu_process,top_cpu_percent,top_mem_process,top_mem_percent,load_average_1min,load_average_5min,load_average_15min
2025-10-05 05:32:24.070794,1759622544.0707908,6.8,12,664.2951666666667,400.0,3800.0,15704.48046875,12743.65234375,2960.828125,18.9,4095.99609375,0.0,0.0,81.78233337402344,24.056358337402344,53.52778244018555,31.0,0.0,0.0,60783,94016,116.65820886194612,116.72595462783576,109671,467599,0,0,0,45,309,systemd,0.0,java,2.43986402168768,0.39453125,0.28857421875,0.40380859375
2025-10-05 05:32:30.224092,1759622550.224087,3.6,12,591.76275,400.0,3800.0,15704.48046875,12636.5625,3067.91796875,19.5,4095.99609375,0.0,0.0,81.78233337402344,24.057781219482425,53.52635955810547,31.0,0.0,0.8709762699110903,60783,94111,0.2562825579419728,0.2572220826272594,109879,467811,0,0,0,45,308,chrome,44.2,java,2.4414559240781952,0.55517578125,0.328125,0.41552734375
2025-10-05 05:34:42.290408,1759622682.2904058,5.5,12,721.5889999999999,400.0,3800.0,15704.48046875,12768.21484375,2936.265625,18.7,4095.99609375,0.0,0.0,81.78233337402344,24.057918548583984,53.52622222900391,31.0,0.0,0.1050904301817673,60783,95370,0.0011484777174025,0.0011841286702317,110131,468100,0,0,0,45,308,chrome,3.0,java,2.450758603672768,0.06103515625,0.20703125,0.35400390625
2025-10-05 05:35:06.388319,1759622706.3883147,1.5,12,451.0943333333333,400.0,3800.0,15704.48046875,12750.55859375,2953.921875,18.8,4095.99609375,0.0,0.0,81.78233337402344,24.057907104492188,53.5262336730957,31.0,0.0,0.0530064144318245,60783,95468,0.0021035685988188,0.0021983111059786,110298,468274,0,0,0,45,308,chrome,20.0,java,2.450758603672768,0.2275390625,0.23779296875,0.361328125
2025-10-05 05:38:28.065507,1759622908.0655055,4.9,12,535.2920833333334,400.0,3800.0,15704.48046875,12682.21484375,3022.265625,19.2,4095.99609375,0.0,0.0,81.78233337402344,24.065052032470703,53.51908874511719,31.0,0.0,0.0272713041009295,60783,95881,0.0003839576164736,0.0003940486980844,110635,468677,0,0,0,45,307,chrome,1.8,java,2.461901920406373,0.01220703125,0.125,0.2890625
2025-10-05 05:38:34.155843,1759622914.1558385,3.4,12,668.9203333333334,400.0,3800.0,15704.48046875,12668.390625,3036.08984375,19.3,4095.99609375,0.0,0.0,81.78233337402344,24.06789779663086,53.51624298095703,31.0,0.0,0.0506694380691296,60783,95904,0.0072567672333541,0.0091290924131918,110790,468841,0,0,0,45,307,chrome,37.3,java,2.463493822796888,0.65185546875,0.255859375,0.33056640625
2025-10-05T00:14:19.754944,1759623259.7549407,21.2,12,1269.8895833333331,400.0,3800.0,15704.48046875,11691.9296875,4012.55078125,25.6,4095.99609375,0.0,0.0,81.78233337402344,26.801815032958984,50.782325744628906,34.5,0.0,3012.7208216619983,62904,178143,7.055555555555555,0.3655462184873949,209415,738131,0,0,0,69,1,python,0.0,python,1.1864647504307464,3.1083984375,1.302734375,0.6982421875
2025-10-05T00:14:25.779505,1759623265.7794986,23.7,12,1266.9183333333333,400.0,3800.0,15704.48046875,11648.15234375,4056.328125,25.8,4095.99609375,0.0,0.0,81.78233337402344,26.811389923095703,50.77275085449219,34.6,0.0,27.306853618492067,62904,179861,0.002220443394543,0.0041171677656426,209461,738186,0,0,0,78,1,python,0.5,python,1.192533878294585,3.01953125,1.314453125,0.70556640625
2025-10-05T00:14:31.797416,1759623271.7974043,3.7,12,649.76525,400.0,3800.0,15704.48046875,11851.0078125,3853.47265625,24.5,4095.99609375,0.0,0.0,81.78233337402344,26.79239654541016,50.79174423217773,34.5,0.0,2.989775454760437,62904,180060,0.0082298086754103,0.0089025256481269,209607,738332,0,0,0,79,1,python,0.2,python,1.192533878294585,2.9375,1.326171875,0.712890625
2025-10-05T00:14:37.813934,1759623277.8139224,1.9,12,894.1613333333333,400.0,3800.0,15704.48046875,11907.875,3796.60546875,24.2,4095.99609375,0.0,0.0,81.78233337402344,26.792415618896484,50.791725158691406,34.5,0.0,0.1019329224110618,62904,180102,0.0151311436984312,0.0151414468059475,209919,738651,0,0,0,80,1,python,0.2,python,1.192533878294585,2.7822265625,1.3203125,0.71484375
2025-10-05T00:14:43.830426,1759623283.830415,1.8,12,648.4503333333333,400.0,3800.0,15704.48046875,11922.74609375,3781.734375,24.1,4095.99609375,0.0,0.0,81.78233337402344,26.792415618896484,50.791725158691406,34.5,0.0,0.0409031916347609,62904,180113,0.0046933229519842,0.003314602865647,209975,738705,0,0,0,80,1,python,0.2,python,1.192533878294585,2.55908203125,1.29833984375,0.7109375
2025-10-05T00:14:49.846557,1759623289.8465457,6.5,12,1191.2828333333334,400.0,3800.0,15704.48046875,11891.359375,3813.12109375,24.3,4095.99609375,0.0,0.0,81.78233337402344,26.7915267944336,50.7926139831543,34.5,0.0032464804695983,1.9959361927090515,62908,181386,0.0044436201427627,0.0076498366455994,210050,738800,0,0,0,82,1,python,0.2,python,1.192533878294585,2.23876953125,1.271484375,0.708984375
